,Insulation thickness (m),Wall U-value (W/m2K),Window U-value (W/m2K),Window SHGC (ratio),Shading control (W/m2),Thermostat settings offset (C),Heating energy (kWh),Cooling energy (kWh),Total energy (kWh),Heating energy (kWh/m2),Cooling energy (kWh/m2),Total energy (kWh/m2) 
1709,0.001,2.84,0.6,0.68,800,2,1506.0,4033.4,5539.3,65.2,174.6,239.8
1710,0.001,2.84,0.6,0.68,800,1,1354.9,4174.7,5529.6,58.7,180.7,239.4
1711,0.001,2.84,0.6,0.68,800,0,1208.2,4299.1,5507.4,52.3,186.1,238.4
1712,0.001,2.84,0.6,0.68,800,-1,1069.3,4404.6,5473.9,46.3,190.7,237.0
1713,0.001,2.84,0.6,0.68,800,-2,940.1,4492.1,5432.2,40.7,194.5,235.2
1714,0.001,2.84,0.6,0.68,800,-3,820.0,4565.9,5385.9,35.5,197.7,233.2
1715,0.001,2.84,0.6,0.68,1000,3,1657.3,3880.3,5537.6,71.7,168.0,239.7
1716,0.001,2.84,0.6,0.68,1000,2,1500.1,4036.8,5536.9,64.9,174.8,239.7
1717,0.001,2.84,0.6,0.68,1000,1,1349.2,4178.2,5527.4,58.4,180.9,239.3
1718,0.001,2.84,0.6,0.68,1000,0,1203.6,4302.4,5506,52.1,186.3,238.4
1719,0.001,2.84,0.6,0.68,1000,-1,1065.8,4407.8,5473.6,46.1,190.8,237.0
1720,0.001,2.84,0.6,0.68,1000,-2,937.3,4495.2,5432.6,40.6,194.6,235.2
1721,0.001,2.84,0.6,0.68,1000,-3,817.6,4569,5386.6,35.4,197.8,233.2
1722,0.001,2.84,0.6,0.8,0,3,2952.8,681.8,3634.5,127.8,29.5,157.3
1723,0.001,2.84,0.6,0.8,0,2,2734.6,810.4,3545,118.4,35.1,153.5
1724,0.001,2.84,0.6,0.8,0,1,2519.2,947.8,3467,109.1,41.0,150.1
1725,0.001,2.84,0.6,0.8,0,0,2306.9,1090.4,3397.3,99.9,47.2,147.1
1726,0.001,2.84,0.6,0.8,0,-1,2099.3,1233.9,3333.2,90.9,53.4,144.3
1727,0.001,2.84,0.6,0.8,0,-2,1896.5,1366.3,3262.8,82.1,59.1,141.2
1728,0.001,2.84,0.6,0.8,0,-3,1702.6,1483.8,3186.3,73.7,64.2,137.9
1729,0.001,2.84,0.6,0.8,200,3,2361.2,1632.2,3993.4,102.2,70.7,172.9
1730,0.001,2.84,0.6,0.8,200,2,2157.4,1812.4,3969.8,93.4,78.5,171.9
1731,0.001,2.84,0.6,0.8,200,1,1957.9,1989.9,3947.8,84.8,86.1,170.9
1732,0.001,2.84,0.6,0.8,200,0,1766.1,2156.8,3922.9,76.5,93.4,169.8
1733,0.001,2.84,0.6,0.8,200,-1,1583.6,2304.8,3888.5,68.6,99.8,168.3
1734,0.001,2.84,0.6,0.8,200,-2,1411.9,2425.3,3837.2,61.1,105.0,166.1
1735,0.001,2.84,0.6,0.8,200,-3,1250.7,2521.2,3771.9,54.1,109.1,163.3
1736,0.001,2.84,0.6,0.8,400,3,1986.7,2730,4716.8,86.0,118.2,204.2
1737,0.001,2.84,0.6,0.8,400,2,1802.1,2901.1,4703.2,78.0,125.6,203.6
1738,0.001,2.84,0.6,0.8,400,1,1626.7,3059.4,4686.1,70.4,132.4,202.9
1739,0.001,2.84,0.6,0.8,400,0,1461.7,3198.4,4660.1,63.3,138.5,201.7
1740,0.001,2.84,0.6,0.8,400,-1,1305.0,3313.6,4618.6,56.5,143.4,199.9
1741,0.001,2.84,0.6,0.8,400,-2,1155.1,3406.6,4561.7,50.0,147.5,197.5
1742,0.001,2.84,0.6,0.8,400,-3,1013.1,3485.8,4498.8,43.9,150.9,194.8
1743,0.001,2.84,0.6,0.8,600,3,1665.5,3902.8,5568.2,72.1,169.0,241.0
1744,0.001,2.84,0.6,0.8,600,2,1506.3,4057.2,5563.5,65.2,175.6,240.8
1745,0.001,2.84,0.6,0.8,600,1,1353.7,4195.9,5549.5,58.6,181.6,240.2
1746,0.001,2.84,0.6,0.8,600,0,1207.2,4316.5,5523.7,52.3,186.9,239.1
1747,0.001,2.84,0.6,0.8,600,-1,1066.2,4416.6,5482.8,46.2,191.2,237.4
1748,0.001,2.84,0.6,0.8,600,-2,934.1,4498.6,5432.7,40.4,194.7,235.2
1749,0.001,2.84,0.6,0.8,600,-3,811.7,4570,5381.7,35.1,197.8,233.0
1750,0.001,2.84,0.6,0.8,800,3,1512.3,4500.6,6012.9,65.5,194.8,260.3
1751,0.001,2.84,0.6,0.8,800,2,1364.5,4649.2,6013.7,59.1,201.3,260.3
1752,0.001,2.84,0.6,0.8,800,1,1223.3,4783.7,6007,53.0,207.1,260.0
1753,0.001,2.84,0.6,0.8,800,0,1088.2,4900.3,5988.5,47.1,212.1,259.2
1754,0.001,2.84,0.6,0.8,800,-1,960.6,4997.5,5958.1,41.6,216.3,257.9
1755,0.001,2.84,0.6,0.8,800,-2,841.7,5077.8,5919.5,36.4,219.8,256.3
1756,0.001,2.84,0.6,0.8,800,-3,730.0,5147.5,5877.5,31.6,222.8,254.4
1757,0.001,2.84,0.6,0.8,1000,3,1506.6,4517.7,6024.3,65.2,195.6,260.8
1758,0.001,2.84,0.6,0.8,1000,2,1360.2,4666.3,6026.5,58.9,202.0,260.9
1759,0.001,2.84,0.6,0.8,1000,1,1220.2,4800.7,6020.9,52.8,207.8,260.6
1760,0.001,2.84,0.6,0.8,1000,0,1085.1,4917.2,6002.3,47.0,212.9,259.8
1761,0.001,2.84,0.6,0.8,1000,-1,957.9,5014.4,5972.3,41.5,217.1,258.5
1762,0.001,2.84,0.6,0.8,1000,-2,839.3,5094.6,5933.9,36.3,220.5,256.9
1763,0.001,2.84,0.6,0.8,1000,-3,727.7,5164.3,5892,31.5,223.6,255.1
1764,0.05,0.57,2.4,0.2,0,3,3550.5,248.6,3799.1,153.7,10.8,164.5
1765,0.05,0.57,2.4,0.2,0,2,3321.4,338.9,3660.3,143.8,14.7,158.5
1766,0.05,0.57,2.4,0.2,0,1,3093.5,441.7,3535.2,133.9,19.1,153.0
1767,0.05,0.57,2.4,0.2,0,0,2867.9,547.6,3415.5,124.1,23.7,147.9
1768,0.05,0.57,2.4,0.2,0,-1,2644.8,656.3,3301.1,114.5,28.4,142.9
1769,0.05,0.57,2.4,0.2,0,-2,2425.9,766.8,3192.7,105.0,33.2,138.2
1770,0.05,0.57,2.4,0.2,0,-3,2211.2,872.4,3083.7,95.7,37.8,133.5
1771,0.05,0.57,2.4,0.2,200,3,3494.0,321.4,3815.4,151.3,13.9,165.2
1772,0.05,0.57,2.4,0.2,200,2,3265.6,427.2,3692.9,141.4,18.5,159.9
1773,0.05,0.57,2.4,0.2,200,1,3038.7,539.8,3578.5,131.5,23.4,154.9
1774,0.05,0.57,2.4,0.2,200,0,2813.7,658.6,3472.3,121.8,28.5,150.3
1775,0.05,0.57,2.4,0.2,200,-1,2591.8,779.4,3371.2,112.2,33.7,145.9
1776,0.05,0.57,2.4,0.2,200,-2,2374.5,900.4,3274.9,102.8,39.0,141.8
1777,0.05,0.57,2.4,0.2,200,-3,2160.1,1009.8,3169.8,93.5,43.7,137.2
1778,0.05,0.57,2.4,0.2,400,3,3397.9,464.1,3862,147.1,20.1,167.2
1779,0.05,0.57,2.4,0.2,400,2,3170.4,581.2,3751.5,137.2,25.2,162.4
1780,0.05,0.57,2.4,0.2,400,1,2944.2,703.4,3647.6,127.5,30.5,157.9
1781,0.05,0.57,2.4,0.2,400,0,2720.6,833.6,3554.3,117.8,36.1,153.9
1782,0.05,0.57,2.4,0.2,400,-1,2500.7,964.1,3464.8,108.3,41.7,150.0
1783,0.05,0.57,2.4,0.2,400,-2,2284.4,1085.3,3369.7,98.9,47.0,145.9
1784,0.05,0.57,2.4,0.2,400,-3,2071.6,1190.1,3261.6,89.7,51.5,141.2
1785,0.05,0.57,2.4,0.2,600,3,3270.0,662.8,3932.8,141.6,28.7,170.3
1786,0.05,0.57,2.4,0.2,600,2,3044.7,789.9,3834.6,131.8,34.2,166.0
1787,0.05,0.57,2.4,0.2,600,1,2821.1,919.9,3741,122.1,39.8,161.9
1788,0.05,0.57,2.4,0.2,600,0,2601.4,1055.4,3656.8,112.6,45.7,158.3
1789,0.05,0.57,2.4,0.2,600,-1,2385.7,1188.9,3574.7,103.3,51.5,154.7
1790,0.05,0.57,2.4,0.2,600,-2,2173.1,1313,3486.1,94.1,56.8,150.9
1791,0.05,0.57,2.4,0.2,600,-3,1964.8,1419.6,3384.3,85.1,61.5,146.5
1792,0.05,0.57,2.4,0.2,800,3,3167.1,778.8,3946,137.1,33.7,170.8
1793,0.05,0.57,2.4,0.2,800,2,2945.4,909.1,3854.6,127.5,39.4,166.9
1794,0.05,0.57,2.4,0.2,800,1,2725.0,1042.3,3767.3,118.0,45.1,163.1
1795,0.05,0.57,2.4,0.2,800,0,2508.7,1180.7,3689.4,108.6,51.1,159.7
1796,0.05,0.57,2.4,0.2,800,-1,2295.8,1313.7,3609.6,99.4,56.9,156.3
1797,0.05,0.57,2.4,0.2,800,-2,2086.5,1437.6,3524.1,90.3,62.2,152.6
1798,0.05,0.57,2.4,0.2,800,-3,1881.7,1544.8,3426.5,81.5,66.9,148.3
1799,0.05,0.57,2.4,0.2,1000,3,3162.1,779.4,3941.5,136.9,33.7,170.6
1800,0.05,0.57,2.4,0.2,1000,2,2940.4,909.8,3850.2,127.3,39.4,166.7
1801,0.05,0.57,2.4,0.2,1000,1,2720.3,1042.9,3763.1,117.8,45.1,162.9
1802,0.05,0.57,2.4,0.2,1000,0,2504.3,1181.3,3685.6,108.4,51.1,159.5
1803,0.05,0.57,2.4,0.2,1000,-1,2291.4,1314.3,3605.8,99.2,56.9,156.1
1804,0.05,0.57,2.4,0.2,1000,-2,2082.2,1438.2,3520.5,90.1,62.3,152.4
1805,0.05,0.57,2.4,0.2,1000,-3,1877.6,1545.4,3423,81.3,66.9,148.2
1806,0.05,0.57,2.4,0.32,0,3,3505.7,299.9,3805.6,151.8,13.0,164.7
1807,0.05,0.57,2.4,0.32,0,2,3277.4,398.4,3675.8,141.9,17.2,159.1
1808,0.05,0.57,2.4,0.32,0,1,3050.4,504.9,3555.4,132.1,21.9,153.9
1809,0.05,0.57,2.4,0.32,0,0,2825.5,615.1,3440.6,122.3,26.6,148.9
1810,0.05,0.57,2.4,0.32,0,-1,2603.6,728.1,3331.7,112.7,31.5,144.2
1811,0.05,0.57,2.4,0.32,0,-2,2386.2,843.4,3229.7,103.3,36.5,139.8
1812,0.05,0.57,2.4,0.32,0,-3,2172.7,950.3,3123,94.1,41.1,135.2
1813,0.05,0.57,2.4,0.32,200,3,3341.9,480.4,3822.3,144.7,20.8,165.5
1814,0.05,0.57,2.4,0.32,200,2,3116.3,603,3719.3,134.9,26.1,161.0
1815,0.05,0.57,2.4,0.32,200,1,2891.9,733,3624.9,125.2,31.7,156.9
1816,0.05,0.57,2.4,0.32,200,0,2670.3,867.3,3537.6,115.6,37.5,153.1
1817,0.05,0.57,2.4,0.32,200,-1,2453.0,1003.2,3456.2,106.2,43.4,149.6
1818,0.05,0.57,2.4,0.32,200,-2,2237.9,1131.3,3369.2,96.9,49.0,145.9
1819,0.05,0.57,2.4,0.32,200,-3,2028.0,1241,3268.9,87.8,53.7,141.5
1820,0.05,0.57,2.4,0.32,400,3,3173.5,777.9,3951.4,137.4,33.7,171.1
1821,0.05,0.57,2.4,0.32,400,2,2950.2,923.1,3873.3,127.7,40.0,167.7
1822,0.05,0.57,2.4,0.32,400,1,2729.5,1069.7,3799.2,118.2,46.3,164.5
1823,0.05,0.57,2.4,0.32,400,0,2511.4,1212.7,3724.1,108.7,52.5,161.2
1824,0.05,0.57,2.4,0.32,400,-1,2296.6,1349,3645.6,99.4,58.4,157.8
1825,0.05,0.57,2.4,0.32,400,-2,2084.7,1476.4,3561,90.2,63.9,154.2
1826,0.05,0.57,2.4,0.32,400,-3,1879.1,1585.8,3465,81.3,68.6,150.0
1827,0.05,0.57,2.4,0.32,600,3,2967.5,1167.8,4135.3,128.5,50.6,179.0
1828,0.05,0.57,2.4,0.32,600,2,2749.9,1327,4076.9,119.0,57.4,176.5
1829,0.05,0.57,2.4,0.32,600,1,2535.3,1483.8,4019,109.8,64.2,174.0
1830,0.05,0.57,2.4,0.32,600,0,2322.9,1632.7,3955.7,100.6,70.7,171.2
1831,0.05,0.57,2.4,0.32,600,-1,2114.2,1769.3,3883.5,91.5,76.6,168.1
1832,0.05,0.57,2.4,0.32,600,-2,1909.1,1891.9,3801,82.6,81.9,164.5
1833,0.05,0.57,2.4,0.32,600,-3,1712.6,1995.1,3707.7,74.1,86.4,160.5
1834,0.05,0.57,2.4,0.32,800,3,2812.3,1385.4,4197.7,121.7,60.0,181.7
1835,0.05,0.57,2.4,0.32,800,2,2599.5,1544.5,4144,112.5,66.9,179.4
1836,0.05,0.57,2.4,0.32,800,1,2389.5,1701.2,4090.8,103.4,73.6,177.1
1837,0.05,0.57,2.4,0.32,800,0,2183.6,1848.2,4031.8,94.5,80.0,174.5
1838,0.05,0.57,2.4,0.32,800,-1,1982.5,1983.3,3965.8,85.8,85.9,171.7
1839,0.05,0.57,2.4,0.32,800,-2,1787.1,2105.1,3892.1,77.4,91.1,168.5
1840,0.05,0.57,2.4,0.32,800,-3,1601.4,2207.4,3808.9,69.3,95.6,164.9
1841,0.05,0.57,2.4,0.32,1000,3,2805.1,1386.5,4191.6,121.4,60.0,181.5
1842,0.05,0.57,2.4,0.32,1000,2,2592.4,1545.5,4138,112.2,66.9,179.1
1843,0.05,0.57,2.4,0.32,1000,1,2382.6,1702.3,4084.9,103.1,73.7,176.8
1844,0.05,0.57,2.4,0.32,1000,0,2177.1,1849.2,4026.4,94.2,80.1,174.3
1845,0.05,0.57,2.4,0.32,1000,-1,1976.5,1984.3,3960.8,85.6,85.9,171.5
1846,0.05,0.57,2.4,0.32,1000,-2,1781.9,2106.1,3888.1,77.1,91.2,168.3
1847,0.05,0.57,2.4,0.32,1000,-3,1596.9,2208.5,3805.4,69.1,95.6,164.7
1848,0.05,0.57,2.4,0.44,0,3,3468.6,345.6,3814.2,150.2,15.0,165.1
1849,0.05,0.57,2.4,0.44,0,2,3241.0,449.8,3690.8,140.3,19.5,159.8
1850,0.05,0.57,2.4,0.44,0,1,3014.8,559.3,3574.1,130.5,24.2,154.7
1851,0.05,0.57,2.4,0.44,0,0,2790.5,672.6,3463.1,120.8,29.1,149.9
1852,0.05,0.57,2.4,0.44,0,-1,2569.9,790,3359.9,111.3,34.2,145.5
1853,0.05,0.57,2.4,0.44,0,-2,2353.3,908.3,3261.6,101.9,39.3,141.2
1854,0.05,0.57,2.4,0.44,0,-3,2140.8,1015.4,3156.2,92.7,44.0,136.6
1855,0.05,0.57,2.4,0.44,200,3,3203.9,653,3856.9,138.7,28.3,167.0
1856,0.05,0.57,2.4,0.44,200,2,2980.6,791.1,3771.7,129.0,34.2,163.3
1857,0.05,0.57,2.4,0.44,200,1,2759.5,936.7,3696.2,119.5,40.5,160.0
1858,0.05,0.57,2.4,0.44,200,0,2541.4,1084.2,3625.6,110.0,46.9,157.0
1859,0.05,0.57,2.4,0.44,200,-1,2326.6,1226.9,3553.5,100.7,53.1,153.8
1860,0.05,0.57,2.4,0.44,200,-2,2114.8,1358.1,3472.9,91.6,58.8,150.3
1861,0.05,0.57,2.4,0.44,200,-3,1908.7,1471.7,3380.4,82.6,63.7,146.3
1862,0.05,0.57,2.4,0.44,400,3,2971.5,1136.9,4108.3,128.6,49.2,177.8
1863,0.05,0.57,2.4,0.44,400,2,2752.8,1293,4045.9,119.2,56.0,175.1
1864,0.05,0.57,2.4,0.44,400,1,2536.3,1448.6,3984.9,109.8,62.7,172.5
1865,0.05,0.57,2.4,0.44,400,0,2322.2,1604.5,3926.7,100.5,69.5,170.0
1866,0.05,0.57,2.4,0.44,400,-1,2111.8,1748.8,3860.6,91.4,75.7,167.1
1867,0.05,0.57,2.4,0.44,400,-2,1906.4,1874.4,3780.8,82.5,81.1,163.7
1868,0.05,0.57,2.4,0.44,400,-3,1709.8,1976.5,3686.3,74.0,85.6,159.6
1869,0.05,0.57,2.4,0.44,600,3,2699.8,1741.8,4441.6,116.9,75.4,192.3
1870,0.05,0.57,2.4,0.44,600,2,2488.6,1908.1,4396.6,107.7,82.6,190.3
1871,0.05,0.57,2.4,0.44,600,1,2279.9,2065.1,4345.1,98.7,89.4,188.1
1872,0.05,0.57,2.4,0.44,600,0,2074.3,2212.1,4286.4,89.8,95.8,185.6
1873,0.05,0.57,2.4,0.44,600,-1,1874.1,2345.3,4219.4,81.1,101.5,182.7
1874,0.05,0.57,2.4,0.44,600,-2,1682.1,2460.5,4142.7,72.8,106.5,179.3
1875,0.05,0.57,2.4,0.44,600,-3,1502.2,2554.6,4056.8,65.0,110.6,175.6
1876,0.05,0.57,2.4,0.44,800,3,2503.2,2052.2,4555.4,108.4,88.8,197.2
1877,0.05,0.57,2.4,0.44,800,2,2302.5,2217,4519.5,99.7,96.0,195.6
1878,0.05,0.57,2.4,0.44,800,1,2104.6,2371.3,4475.8,91.1,102.7,193.8
1879,0.05,0.57,2.4,0.44,800,0,1911.8,2515.8,4427.6,82.8,108.9,191.7
1880,0.05,0.57,2.4,0.44,800,-1,1725.6,2647.4,4373,74.7,114.6,189.3
1881,0.05,0.57,2.4,0.44,800,-2,1546.8,2760.2,4307.1,67.0,119.5,186.5
1882,0.05,0.57,2.4,0.44,800,-3,1377.2,2851.6,4228.8,59.6,123.4,183.1
1883,0.05,0.57,2.4,0.44,1000,3,2494.8,2053.7,4548.5,108.0,88.9,196.9
1884,0.05,0.57,2.4,0.44,1000,2,2295.0,2218.5,4513.5,99.3,96.0,195.4
1885,0.05,0.57,2.4,0.44,1000,1,2097.9,2372.8,4470.6,90.8,102.7,193.5
1886,0.05,0.57,2.4,0.44,1000,0,1905.4,2517.3,4422.6,82.5,109.0,191.5
1887,0.05,0.57,2.4,0.44,1000,-1,1719.5,2648.9,4368.4,74.4,114.7,189.1
1888,0.05,0.57,2.4,0.44,1000,-2,1541.3,2761.7,4303,66.7,119.6,186.3
1889,0.05,0.57,2.4,0.44,1000,-3,1372.3,2853.1,4225.4,59.4,123.5,182.9
1890,0.05,0.57,2.4,0.56,0,3,3436.8,386.5,3823.3,148.8,16.7,165.5
1891,0.05,0.57,2.4,0.56,0,2,3209.8,494.6,3704.4,139.0,21.4,160.4
1892,0.05,0.57,2.4,0.56,0,1,2984.0,607,3591,129.2,26.3,155.5
1893,0.05,0.57,2.4,0.56,0,0,2760.3,723.1,3483.4,119.5,31.3,150.8
1894,0.05,0.57,2.4,0.56,0,-1,2540.8,844.1,3384.9,110.0,36.5,146.5
1895,0.05,0.57,2.4,0.56,0,-2,2325.0,964.7,3289.6,100.6,41.8,142.4
1896,0.05,0.57,2.4,0.56,0,-3,2113.4,1071.7,3185.2,91.5,46.4,137.9
1897,0.05,0.57,2.4,0.56,200,3,3080.2,830.2,3910.5,133.3,35.9,169.3
1898,0.05,0.57,2.4,0.56,200,2,2859.7,983.2,3842.8,123.8,42.6,166.4
1899,0.05,0.57,2.4,0.56,200,1,2641.2,1139.7,3780.9,114.3,49.3,163.7
1900,0.05,0.57,2.4,0.56,200,0,2426.0,1293.3,3719.3,105.0,56.0,161.0
1901,0.05,0.57,2.4,0.56,200,-1,2213.1,1443.2,3656.3,95.8,62.5,158.3
1902,0.05,0.57,2.4,0.56,200,-2,2004.9,1578,3582.9,86.8,68.3,155.1
1903,0.05,0.57,2.4,0.56,200,-3,1803.6,1691.7,3495.3,78.1,73.2,151.3
1904,0.05,0.57,2.4,0.56,400,3,2791.0,1488.5,4279.5,120.8,64.4,185.3
1905,0.05,0.57,2.4,0.56,400,2,2576.2,1660.9,4237,111.5,71.9,183.4
1906,0.05,0.57,2.4,0.56,400,1,2363.0,1829.5,4192.5,102.3,79.2,181.5
1907,0.05,0.57,2.4,0.56,400,0,2153.4,1987.2,4140.7,93.2,86.0,179.3
1908,0.05,0.57,2.4,0.56,400,-1,1948.1,2128.8,4076.9,84.3,92.2,176.5
1909,0.05,0.57,2.4,0.56,400,-2,1751.7,2246.3,3998,75.8,97.2,173.1
1910,0.05,0.57,2.4,0.56,400,-3,1566.1,2340.5,3906.6,67.8,101.3,169.1
1911,0.05,0.57,2.4,0.56,600,3,2459.8,2295.7,4755.5,106.5,99.4,205.9
1912,0.05,0.57,2.4,0.56,600,2,2254.8,2463.2,4718,97.6,106.6,204.2
1913,0.05,0.57,2.4,0.56,600,1,2053.0,2621.5,4674.5,88.9,113.5,202.4
1914,0.05,0.57,2.4,0.56,600,0,1856.7,2765.3,4622,80.4,119.7,200.1
1915,0.05,0.57,2.4,0.56,600,-1,1670.1,2893.4,4563.5,72.3,125.3,197.6
1916,0.05,0.57,2.4,0.56,600,-2,1494.8,3000.5,4495.3,64.7,129.9,194.6
1917,0.05,0.57,2.4,0.56,600,-3,1327.8,3086.2,4414,57.5,133.6,191.1
1918,0.05,0.57,2.4,0.56,800,3,2242.3,2701.6,4943.9,97.1,117.0,214.0
1919,0.05,0.57,2.4,0.56,800,2,2052.3,2865.7,4918,88.8,124.1,212.9
1920,0.05,0.57,2.4,0.56,800,1,1866.6,3020.6,4887.2,80.8,130.8,211.6
1921,0.05,0.57,2.4,0.56,800,0,1686.5,3161.8,4848.3,73.0,136.9,209.9
1922,0.05,0.57,2.4,0.56,800,-1,1512.5,3286.8,4799.2,65.5,142.3,207.8
1923,0.05,0.57,2.4,0.56,800,-2,1348.8,3390.8,4739.6,58.4,146.8,205.2
1924,0.05,0.57,2.4,0.56,800,-3,1193.7,3474.7,4668.5,51.7,150.4,202.1
1925,0.05,0.57,2.4,0.56,1000,3,2234.3,2703.5,4937.8,96.7,117.0,213.8
1926,0.05,0.57,2.4,0.56,1000,2,2044.6,2867.6,4912.3,88.5,124.1,212.7
1927,0.05,0.57,2.4,0.56,1000,1,1859.7,3022.5,4882.2,80.5,130.8,211.4
1928,0.05,0.57,2.4,0.56,1000,0,1680.1,3163.7,4843.8,72.7,137.0,209.7
1929,0.05,0.57,2.4,0.56,1000,-1,1506.5,3288.7,4795.2,65.2,142.4,207.6
1930,0.05,0.57,2.4,0.56,1000,-2,1343.1,3392.7,4735.9,58.1,146.9,205.0
1931,0.05,0.57,2.4,0.56,1000,-3,1188.0,3476.6,4664.6,51.4,150.5,201.9
1932,0.05,0.57,2.4,0.68,0,3,3408.5,424.4,3832.9,147.6,18.4,165.9
1933,0.05,0.57,2.4,0.68,0,2,3182.0,535.2,3717.2,137.7,23.2,160.9
1934,0.05,0.57,2.4,0.68,0,1,2956.7,650.1,3606.8,128.0,28.1,156.1
1935,0.05,0.57,2.4,0.68,0,0,2733.5,768.8,3502.3,118.3,33.3,151.6
1936,0.05,0.57,2.4,0.68,0,-1,2515.0,893.2,3408.2,108.9,38.7,147.5
1937,0.05,0.57,2.4,0.68,0,-2,2300.0,1015.3,3315.3,99.6,44.0,143.5
1938,0.05,0.57,2.4,0.68,0,-3,2089.2,1122.5,3211.7,90.4,48.6,139.0
1939,0.05,0.57,2.4,0.68,200,3,2964.9,1020.6,3985.4,128.3,44.2,172.5
1940,0.05,0.57,2.4,0.68,200,2,2746.8,1182.8,3929.6,118.9,51.2,170.1
1941,0.05,0.57,2.4,0.68,200,1,2530.9,1345.7,3876.6,109.6,58.3,167.8
1942,0.05,0.57,2.4,0.68,200,0,2317.5,1508.5,3826,100.3,65.3,165.6
1943,0.05,0.57,2.4,0.68,200,-1,2107.3,1660.7,3768.1,91.2,71.9,163.1
1944,0.05,0.57,2.4,0.68,200,-2,1903.5,1795.2,3698.8,82.4,77.7,160.1
1945,0.05,0.57,2.4,0.68,200,-3,1707.9,1905.4,3613.4,73.9,82.5,156.4
1946,0.05,0.57,2.4,0.68,400,3,2623.3,1866.8,4490.1,113.6,80.8,194.4
1947,0.05,0.57,2.4,0.68,400,2,2411.5,2044.1,4455.6,104.4,88.5,192.9
1948,0.05,0.57,2.4,0.68,400,1,2202.7,2211.8,4414.6,95.4,95.7,191.1
1949,0.05,0.57,2.4,0.68,400,0,1997.6,2364.8,4362.4,86.5,102.4,188.8
1950,0.05,0.57,2.4,0.68,400,-1,1800.9,2497.1,4298,78.0,108.1,186.1
1951,0.05,0.57,2.4,0.68,400,-2,1614.6,2606.9,4221.6,69.9,112.9,182.8
1952,0.05,0.57,2.4,0.68,400,-3,1436.7,2694.2,4130.9,62.2,116.6,178.8
1953,0.05,0.57,2.4,0.68,600,3,2242.6,2848.7,5091.3,97.1,123.3,220.4
1954,0.05,0.57,2.4,0.68,600,2,2045.4,3015.9,5061.3,88.5,130.6,219.1
1955,0.05,0.57,2.4,0.68,600,1,1854.4,3167.9,5022.3,80.3,137.1,217.4
1956,0.05,0.57,2.4,0.68,600,0,1671.7,3304.8,4976.5,72.4,143.1,215.4
1957,0.05,0.57,2.4,0.68,600,-1,1500.0,3423.2,4923.2,64.9,148.2,213.1
1958,0.05,0.57,2.4,0.68,600,-2,1335.5,3521.7,4857.2,57.8,152.5,210.3
1959,0.05,0.57,2.4,0.68,600,-3,1178.5,3600.2,4778.8,51.0,155.9,206.9
1960,0.05,0.57,2.4,0.68,800,3,2019.7,3337.5,5357.2,87.4,144.5,231.9
1961,0.05,0.57,2.4,0.68,800,2,1840.4,3499.1,5339.5,79.7,151.5,231.1
1962,0.05,0.57,2.4,0.68,800,1,1664.4,3647.3,5311.6,72.1,157.9,229.9
1963,0.05,0.57,2.4,0.68,800,0,1495.4,3780.7,5276.1,64.7,163.7,228.4
1964,0.05,0.57,2.4,0.68,800,-1,1336.2,3895.9,5232.1,57.8,168.7,226.5
1965,0.05,0.57,2.4,0.68,800,-2,1183.4,3991.5,5174.9,51.2,172.8,224.0
1966,0.05,0.57,2.4,0.68,800,-3,1035.8,4068.2,5104,44.8,176.1,221.0
1967,0.05,0.57,2.4,0.68,1000,3,2011.9,3339.9,5351.8,87.1,144.6,231.7
1968,0.05,0.57,2.4,0.68,1000,2,1833.0,3501.5,5334.5,79.4,151.6,230.9
1969,0.05,0.57,2.4,0.68,1000,1,1657.2,3649.6,5306.8,71.7,158.0,229.7
1970,0.05,0.57,2.4,0.68,1000,0,1488.6,3783.1,5271.7,64.4,163.8,228.2
1971,0.05,0.57,2.4,0.68,1000,-1,1329.2,3898.3,5227.4,57.5,168.8,226.3
1972,0.05,0.57,2.4,0.68,1000,-2,1176.3,3993.8,5170,50.9,172.9,223.8
1973,0.05,0.57,2.4,0.68,1000,-3,1029.3,4070.5,5099.8,44.6,176.2,220.8
1974,0.05,0.57,2.4,0.8,0,3,3382.1,461.1,3843.2,146.4,20.0,166.4
1975,0.05,0.57,2.4,0.8,0,2,3156.0,573.8,3729.8,136.6,24.8,161.5
1976,0.05,0.57,2.4,0.8,0,1,2931.2,691.3,3622.5,126.9,29.9,156.8
1977,0.05,0.57,2.4,0.8,0,0,2708.8,813.2,3522.1,117.3,35.2,152.5
1978,0.05,0.57,2.4,0.8,0,-1,2490.9,940.4,3431.4,107.8,40.7,148.5
1979,0.05,0.57,2.4,0.8,0,-2,2276.6,1063.6,3340.2,98.6,46.0,144.6
1980,0.05,0.57,2.4,0.8,0,-3,2066.6,1171,3237.6,89.5,50.7,140.2
1981,0.05,0.57,2.4,0.8,200,3,2858.5,1211.2,4069.6,123.7,52.4,176.2
1982,0.05,0.57,2.4,0.8,200,2,2642.7,1381.5,4024.2,114.4,59.8,174.2
1983,0.05,0.57,2.4,0.8,200,1,2428.8,1553.6,3982.4,105.1,67.3,172.4
1984,0.05,0.57,2.4,0.8,200,0,2217.4,1718.6,3936,96.0,74.4,170.4
1985,0.05,0.57,2.4,0.8,200,-1,2010.9,1872,3883,87.1,81.0,168.1
