,insulation_thickness,u_values,annual_energy_use
219,0.22,0.8,866.3
220,0.22,0.75,816.2
221,0.22,0.7,765.9
222,0.22,0.65,715.5
223,0.22,0.6,664.8
224,0.22,0.55,614.1
225,0.22,0.5,563.3
226,0.22,0.45,512.8
227,0.22,0.4,462.3
228,0.22,0.35,412.3
229,0.22,0.3,362.7
230,0.22,0.25,313.3
231,0.24,1.25,1296.9
232,0.24,1.2,1249.1
233,0.24,1.15,1200.9
234,0.24,1.1,1152.7
235,0.24,1.05,1103.8
236,0.24,1.0,1054.8
237,0.24,0.95,1005.6
238,0.24,0.9,956.3
239,0.24,0.85,906.9
240,0.24,0.8,857.2
241,0.24,0.75,807.2
242,0.24,0.7,757.0
243,0.24,0.65,706.6
244,0.24,0.6,656.0
245,0.24,0.55,605.4
246,0.24,0.5,554.8
247,0.24,0.45,504.3
248,0.24,0.4,454.0
249,0.24,0.35,404.1
250,0.24,0.3,354.7
251,0.24,0.25,305.4
252,0.26,1.25,1288.9
253,0.26,1.2,1241.1
254,0.26,1.15,1193.0
255,0.26,1.1,1144.7
256,0.26,1.05,1095.9
257,0.26,1.0,1046.9
258,0.26,0.95,997.7
259,0.26,0.9,948.5
260,0.26,0.85,899.2
261,0.26,0.8,849.5
262,0.26,0.75,799.6
263,0.26,0.7,749.4
264,0.26,0.65,699.0
265,0.26,0.6,648.5
266,0.26,0.55,598.0
267,0.26,0.5,547.4
268,0.26,0.45,497.2
269,0.26,0.4,446.9
270,0.26,0.35,397.2
271,0.26,0.3,347.8
272,0.26,0.25,298.6
273,0.28,1.25,1281.9
274,0.28,1.2,1234.1
275,0.28,1.15,1186.1
276,0.28,1.1,1137.8
277,0.28,1.05,1089.0
278,0.28,1.0,1040.1
279,0.28,0.95,991.0
280,0.28,0.9,941.8
281,0.28,0.85,892.5
282,0.28,0.8,842.9
283,0.28,0.75,792.9
284,0.28,0.7,742.8
285,0.28,0.65,692.5
286,0.28,0.6,642.0
287,0.28,0.55,591.6
288,0.28,0.5,541.2
289,0.28,0.45,490.9
290,0.28,0.4,440.7
291,0.28,0.35,391.2
292,0.28,0.3,341.9
293,0.28,0.25,292.8
294,0.3,1.25,1275.8
295,0.3,1.2,1228.1
296,0.3,1.15,1180.1
297,0.3,1.1,1131.8
298,0.3,1.05,1083.1
299,0.3,1.0,1034.2
300,0.3,0.95,985.1
301,0.3,0.9,936.0
302,0.3,0.85,886.7
303,0.3,0.8,837.1
304,0.3,0.75,787.2
305,0.3,0.7,737.2
306,0.3,0.65,686.9
307,0.3,0.6,636.4
308,0.3,0.55,586.1
309,0.3,0.5,535.7
310,0.3,0.45,485.6
311,0.3,0.4,435.4
312,0.3,0.35,386.0
313,0.3,0.3,336.8
314,0.3,0.25,287.7
315,0.32,1.25,1270.4
316,0.32,1.2,1222.7
317,0.32,1.15,1174.7
318,0.32,1.1,1126.5
319,0.32,1.05,1077.7
320,0.32,1.0,1028.9
321,0.32,0.95,979.9
322,0.32,0.9,930.8
323,0.32,0.85,881.5
324,0.32,0.8,832.0
325,0.32,0.75,782.1
326,0.32,0.7,732.1
327,0.32,0.65,681.8
328,0.32,0.6,631.4
329,0.32,0.55,581.1
330,0.32,0.5,530.9
331,0.32,0.45,480.7
332,0.32,0.4,430.6
333,0.32,0.35,381.3
334,0.32,0.3,332.3
335,0.32,0.25,283.3
336,0.34,1.25,1265.7
337,0.34,1.2,1217.9
338,0.34,1.15,1170.0
339,0.34,1.1,1121.8
340,0.34,1.05,1073.1
341,0.34,1.0,1024.3
342,0.34,0.95,975.2
343,0.34,0.9,926.2
344,0.34,0.85,876.9
345,0.34,0.8,827.5
346,0.34,0.75,777.6
347,0.34,0.7,727.6
348,0.34,0.65,677.4
349,0.34,0.6,627.0
350,0.34,0.55,576.8
351,0.34,0.5,526.6
352,0.34,0.45,476.5
353,0.34,0.4,426.5
354,0.34,0.35,377.3
355,0.34,0.3,328.2
356,0.34,0.25,279.3
357,0.36,1.25,1261.4
358,0.36,1.2,1213.7
359,0.36,1.15,1165.8
360,0.36,1.1,1117.6
361,0.36,1.05,1068.9
362,0.36,1.0,1020.1
363,0.36,0.95,971.1
364,0.36,0.9,922.1
365,0.36,0.85,872.9
366,0.36,0.8,823.4
367,0.36,0.75,773.6
368,0.36,0.7,723.6
369,0.36,0.65,673.4
370,0.36,0.6,623.1
371,0.36,0.55,572.9
372,0.36,0.5,522.7
373,0.36,0.45,472.7
374,0.36,0.4,422.8
375,0.36,0.35,373.6
376,0.36,0.3,324.6
377,0.36,0.25,275.8
378,0.38,1.25,1257.6
379,0.38,1.2,1209.9
380,0.38,1.15,1162.0
381,0.38,1.1,1113.8
382,0.38,1.05,1065.1
383,0.38,1.0,1016.4
384,0.38,0.95,967.4
385,0.38,0.9,918.5
386,0.38,0.85,869.3
387,0.38,0.8,819.7
388,0.38,0.75,769.9
389,0.38,0.7,720.0
390,0.38,0.65,669.8
391,0.38,0.6,619.6
392,0.38,0.55,569.4
393,0.38,0.5,519.3
394,0.38,0.45,469.3
395,0.38,0.4,419.5
396,0.38,0.35,370.4
397,0.38,0.3,321.4
398,0.38,0.25,272.6
399,0.4,1.25,1254.2
400,0.4,1.2,1206.6
401,0.4,1.15,1158.7
402,0.4,1.1,1110.4
403,0.4,1.05,1061.9
404,0.4,1.0,1013.1
405,0.4,0.95,964.1
406,0.4,0.9,915.2
407,0.4,0.85,866.0
408,0.4,0.8,816.5
409,0.4,0.75,766.8
410,0.4,0.7,716.8
411,0.4,0.65,666.7
412,0.4,0.6,616.5
413,0.4,0.55,566.4
414,0.4,0.5,516.3
415,0.4,0.45,466.3
416,0.4,0.4,416.6
417,0.4,0.35,367.5
418,0.4,0.3,318.5
419,0.4,0.25,269.8
420,0.42,1.25,1250.7
421,0.42,1.2,1203.0
422,0.42,1.15,1155.2
423,0.42,1.1,1106.9
424,0.42,1.05,1058.4
425,0.42,1.0,1009.6
426,0.42,0.95,960.7
427,0.42,0.9,911.8
428,0.42,0.85,862.6
429,0.42,0.8,813.2
430,0.42,0.75,763.5
431,0.42,0.7,713.5
432,0.42,0.65,663.4
433,0.42,0.6,613.3
434,0.42,0.55,563.2
435,0.42,0.5,513.1
436,0.42,0.45,463.2
437,0.42,0.4,413.6
438,0.42,0.35,364.5
439,0.42,0.3,315.6
440,0.42,0.25,267.0
441,0.44,1.25,1247.8
442,0.44,1.2,1200.2
443,0.44,1.15,1152.3
444,0.44,1.1,1104.1
445,0.44,1.05,1055.6
446,0.44,1.0,1006.8
447,0.44,0.95,957.9
448,0.44,0.9,909.0
449,0.44,0.85,859.9
450,0.44,0.8,810.5
451,0.44,0.75,760.8
452,0.44,0.7,710.8
453,0.44,0.65,660.8
454,0.44,0.6,610.6
455,0.44,0.55,560.6
456,0.44,0.5,510.6
457,0.44,0.45,460.7
458,0.44,0.4,411.1
459,0.44,0.35,362.1
460,0.44,0.3,313.2
461,0.44,0.25,264.7
462,0.46,1.25,1245.2
463,0.46,1.2,1197.6
464,0.46,1.15,1149.7
465,0.46,1.1,1101.5
