,Insulation thickness (m),Window U-value (W/m2K),Window SHGC (ratio),Shading control (W/m2),Thermostat settings offset (C),Heating energy (kWh),Cooling energy (kWh),Total energy (kWh)
85,0.001,2.4,0.44,0,2,4678.89891631838,563.2,5242.1
86,0.001,2.4,0.44,0,1,4365.451479434103,703.2,5068.7
87,0.001,2.4,0.44,0,0,4054.0082783146854,843.3,4897.3
88,0.001,2.4,0.44,0,-1,3745.010888085523,985.2,4730.2
89,0.001,2.4,0.44,0,-2,3440.1661658935,1119.2,4559.4
90,0.001,2.4,0.44,0,-3,3141.3746585981294,1240.0,4381.4
91,0.001,2.4,0.44,200,3,4732.133175106998,699.7,5431.9
92,0.001,2.4,0.44,200,2,4422.798382447193,859.7,5282.5
93,0.001,2.4,0.44,200,1,4115.037074108479,1029.0,5144.0
94,0.001,2.4,0.44,200,0,3808.970353635819,1204.8,5013.8
95,0.001,2.4,0.44,200,-1,3505.4021683601245,1374.0,4879.4
96,0.001,2.4,0.44,200,-2,3208.415623646768,1523.9,4732.3
97,0.001,2.4,0.44,200,-3,2916.6984833803663,1650.7,4567.4
98,0.001,2.4,0.44,400,3,4506.3503987115555,1120.5,5626.8
99,0.001,2.4,0.44,400,2,4202.016940266781,1306.2,5508.2
100,0.001,2.4,0.44,400,1,3898.2364088609265,1490.6,5388.9
101,0.001,2.4,0.44,400,0,3597.6729150689803,1669.7,5267.4
102,0.001,2.4,0.44,400,-1,3300.926363012447,1838.8,5139.7
103,0.001,2.4,0.44,400,-2,3010.1659539070756,1985.3,4995.4
104,0.001,2.4,0.44,400,-3,2725.844628754702,2106.7,4832.5
105,0.001,2.4,0.44,600,3,4245.539471267438,1671.0,5916.5
106,0.001,2.4,0.44,600,2,3949.5737572631765,1869.0,5818.5
107,0.001,2.4,0.44,600,1,3655.4435071576922,2059.7,5715.2
108,0.001,2.4,0.44,600,0,3364.4572590242137,2238.0,5602.5
109,0.001,2.4,0.44,600,-1,3078.17763559067,2398.2,5476.3
